#------------------------------------------------------------------------------------------------------
# PROJCS axis table
#
# syntax: [PROJCS,] cs-code, axis-code
#------------------------------------------------------------------------------------------------------

PE_PCS_BEIJING_1954_3_DEGREE_GK_37, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_38, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_39, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_40, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_41, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_42, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_43, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_44, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_45, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_75E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_78E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_81E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_84E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_87E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_90E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_93E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_96E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_99E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_102E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_105E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_108E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_111E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_114E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_117E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_120E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_123E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_126E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_129E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_132E, NE
PE_PCS_BEIJING_1954_3_DEGREE_GK_135E, NE
PE_PCS_JGD_2000_JAPAN_1, NE
PE_PCS_JGD_2000_JAPAN_2, NE
PE_PCS_JGD_2000_JAPAN_3, NE
PE_PCS_JGD_2000_JAPAN_4, NE
PE_PCS_JGD_2000_JAPAN_5, NE
PE_PCS_JGD_2000_JAPAN_6, NE
PE_PCS_JGD_2000_JAPAN_7, NE
PE_PCS_JGD_2000_JAPAN_8, NE
PE_PCS_JGD_2000_JAPAN_9, NE
PE_PCS_JGD_2000_JAPAN_10, NE
PE_PCS_JGD_2000_JAPAN_11, NE
PE_PCS_JGD_2000_JAPAN_12, NE
PE_PCS_JGD_2000_JAPAN_13, NE
PE_PCS_JGD_2000_JAPAN_14, NE
PE_PCS_JGD_2000_JAPAN_15, NE
PE_PCS_JGD_2000_JAPAN_16, NE
PE_PCS_JGD_2000_JAPAN_17, NE
PE_PCS_JGD_2000_JAPAN_18, NE
PE_PCS_JGD_2000_JAPAN_19, NE
PE_PCS_ALBANIAN_1987_GK_4, NE
PE_PCS_PULKOVO_1995_GK_21E, NE
PE_PCS_PULKOVO_1995_GK_27E, NE
PE_PCS_PULKOVO_1995_GK_33E, NE
PE_PCS_PULKOVO_1995_GK_39E, NE
PE_PCS_PULKOVO_1995_GK_45E, NE
PE_PCS_PULKOVO_1995_GK_51E, NE
PE_PCS_PULKOVO_1995_GK_57E, NE
PE_PCS_PULKOVO_1995_GK_63E, NE
PE_PCS_PULKOVO_1995_GK_69E, NE
PE_PCS_PULKOVO_1995_GK_75E, NE
PE_PCS_PULKOVO_1995_GK_81E, NE
PE_PCS_PULKOVO_1995_GK_87E, NE
PE_PCS_PULKOVO_1995_GK_93E, NE
PE_PCS_PULKOVO_1995_GK_99E, NE
PE_PCS_PULKOVO_1995_GK_105E, NE
PE_PCS_PULKOVO_1995_GK_111E, NE
PE_PCS_PULKOVO_1995_GK_117E, NE
PE_PCS_PULKOVO_1995_GK_123E, NE
PE_PCS_PULKOVO_1995_GK_129E, NE
PE_PCS_PULKOVO_1995_GK_135E, NE
PE_PCS_PULKOVO_1995_GK_141E, NE
PE_PCS_PULKOVO_1995_GK_147E, NE
PE_PCS_PULKOVO_1995_GK_153E, NE
PE_PCS_PULKOVO_1995_GK_159E, NE
PE_PCS_PULKOVO_1995_GK_165E, NE
PE_PCS_PULKOVO_1995_GK_171E, NE
PE_PCS_PULKOVO_1995_GK_177E, NE
PE_PCS_PULKOVO_1995_GK_177W, NE
PE_PCS_PULKOVO_1995_GK_171W, NE
PE_PCS_PULKOVO_1942_GK_21E, NE
PE_PCS_PULKOVO_1942_GK_27E, NE
PE_PCS_PULKOVO_1942_GK_33E, NE
PE_PCS_PULKOVO_1942_GK_39E, NE
