#------------------------------------------------------------------------------------------------------
# HVCOORDSYS description table
#
# syntax: [HVCOORDSYS,] code, "utf8-description"
#------------------------------------------------------------------------------------------------------

PE_HVC_KKJ_FINLAND_UCS_N60_HT, "Finland - onshore"
PE_HVC_ETRS_1989_NTM_27_NN54_HT, "Norway - onshore - 27~E to 28~E"
PE_HVC_ETRS_1989_NTM_28_NN54_HT, "Norway - onshore - 28~E to 29~E"
PE_HVC_ETRS_1989_NTM_29_NN54_HT, "Norway - onshore - 29~E to 30~E"
PE_HVC_ETRS_1989_NTM_30_NN54_HT, "Norway - onshore - East of 30~E"
PE_HVC_ETRS_1989_UTM_31_NN54_HT, "Norway - onshore - West of 6~E"
PE_HVC_ETRS_1989_UTM_32_NN54_HT, "Norway - onshore - 6~E to 12~E"
PE_HVC_ETRS_1989_UTM_33_NN54_HT, "Norway - onshore - 12~E to 18~E"
PE_HVC_ETRS_1989_UTM_34_NN54_HT, "Norway - onshore - 18~E to 24~E"
PE_HVC_ETRS_1989_UTM_35_NN54_HT, "Norway - onshore - 24~E to 30~E"
PE_HVC_ETRS_1989_UTM_36_NN54_HT, "Norway - onshore - East of 30~E"
PE_HVC_BELGE_1972_BELGIAN_LAMBERT72_OSTEND_HT, "Belgium - onshore"
PE_HVC_NAD_1983_2011_NAVD88_HT, "USA - CONUS and Alaska - onshore"
PE_HVC_NAD_1983_CSRS_CGVD2013_HT, "Canada"
PE_HVC_NAD_1983_CSRS_UTM_7N_CGVD2013_HT, "Canada - 144~W to 138~W"
PE_HVC_NAD_1983_CSRS_UTM_8N_CGVD2013_HT, "Canada - 138~W to 132~W"
PE_HVC_NAD_1983_CSRS_UTM_9N_CGVD2013_HT, "Canada - 132~W to 126~W"
PE_HVC_NAD_1983_CSRS_UTM_10N_CGVD2013_HT, "Canada - 126~W to 120~W"
PE_HVC_NAD_1983_CSRS_UTM_11N_CGVD2013_HT, "Canada - 120~W to 114~W"
PE_HVC_NAD_1983_CSRS_UTM_12N_CGVD2013_HT, "Canada - 114~W to 108~W"
PE_HVC_NAD_1983_CSRS_UTM_13N_CGVD2013_HT, "Canada - 108~W to 102~W"
