#------------------------------------------------------------------------------------------------------
# PROJCS deprecated table
#
# syntax: [PROJCS,] factory-code, status
#------------------------------------------------------------------------------------------------------

PE_PCS_NAD_1983_HARN_ADJ_WI_SH_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_SG_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_TR_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WA_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WK_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WP_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WN_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_BF_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_BN_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_CO_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_CR_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_DN_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_EC_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_GR_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_GL_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_JA_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_LF_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_LG_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_MA_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_MQ_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_MR_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_ON_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_PP_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_PC_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_PT_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_RC_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_SW_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_TA_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_VR_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_VI_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WW_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WB_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WS_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_WD_M, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_AD_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_AL_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_BA_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_BR_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_BU_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_CL_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_CK_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_DD_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_DR_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_DG_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_DU_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_FN_FT, discontinued
PE_PCS_NAD_1983_HARN_ADJ_WI_FL_FT, discontinued
